exp,trap,cup,start,start,start,start,end,end,end,end,time,depth,pc,pc,pn,pn,pp,pp,pic,psi,mass,mass,n15,n15
,,,month,day,year,hour,month,day,year,hour,,,mean,sd,mean,sd,mean,sd,,,mean,sd,mean,sd
#,#,#,,,,,,,,,(days),(m),mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,permil,permil
,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,6,24,1992,-9,7,11,1992,-9,17.38,800,5.22,2,0.595,0.09,0.02836,0.00432,-9,-9,1.36,0.2,-9,-9
1,1,2,7,11,1992,-9,7,28,1992,-9,17.38,800,4.46,1.52,0.468,0.129,0.04127,0.0007,-9,-9,2.94,0.04,-9,-9
1,1,3,7,28,1992,-9,8,14,1992,-9,17.38,800,6.53,2.2,0.724,0.103,0.09584,0.02377,-9,-9,4.26,0.09,-9,-9
1,1,4,8,14,1992,-9,8,31,1992,-9,17.38,800,2.7,1.29,0.331,0,0.07505,0.00609,-9,-9,1.89,0.15,-9,-9
1,1,5,8,31,1992,-9,9,17,1992,-9,17.38,800,4.3,2.02,0.487,0.073,0.03813,0.00571,-9,-9,2.9,0.33,-9,-9
1,1,6,9,17,1992,-9,10,4,1992,-9,17.38,800,4.62,0.04,0.507,0.06,0.07493,0.00185,-9,-9,2.28,0.07,-9,-9
1,1,7,10,4,1992,-9,10,21,1992,-9,17.38,800,2.01,0.01,0.233,0.01,0.03028,0.00363,-9,-9,1.03,0.01,-9,-9
1,1,8,10,21,1992,-9,11,7,1992,-9,17.38,800,2.74,0.04,0.246,0.01,0.03022,0.00169,-9,-9,1.63,0.1,-9,-9
1,1,9,11,7,1992,-9,11,24,1992,-9,17.38,800,1.34,0.47,0.173,0.07,0.01107,0.00223,-9,-9,1.1,0.07,-9,-9
1,1,10,11,24,1992,-9,12,11,1992,-9,17.38,800,1.27,0.66,0.16,0.09,0.02218,0.00529,-9,-9,0.84,0.17,-9,-9
1,1,11,12,11,1992,-9,12,28,1992,-9,17.38,800,1.73,0.17,0.373,0.039,0.07353,0.00053,-9,-9,0.69,0.01,-9,-9
1,1,12,12,28,1992,-9,1,14,1993,-9,17.38,800,0.85,0.05,0.105,0.005,0.01691,0.0047,-9,-9,0.53,0.01,-9,-9
1,1,13,1,14,1993,-9,1,31,1993,-9,17.38,800,0.66,0.06,0.076,0.015,0.00661,0.00007,-9,-9,0.46,0.06,-9,-9
1,1,14,1,31,1993,-9,2,17,1993,-9,17.38,800,0.69,0.08,0.078,0.012,0.0074,0.00023,-9,-9,0.34,0.05,-9,-9
1,1,15,2,17,1993,-9,3,6,1993,-9,17.38,800,2.14,0.11,0.271,0.02,0.03808,0.00402,-9,-9,0.81,0.05,-9,-9
1,1,16,3,6,1993,-9,3,23,1993,-9,17.38,800,2.15,0.18,0.251,0.027,0.0404,0,-9,-9,1.01,0.06,-9,-9
1,1,17,3,23,1993,-9,4,9,1993,-9,17.38,800,2.34,0.01,0.208,0,0.03037,0.00428,-9,-9,1.15,0.19,-9,-9
1,1,18,4,9,1993,-9,4,26,1993,-9,17.38,800,1.36,0.06,0.138,0,0.01233,0.00136,-9,-9,0.75,0.03,-9,-9
1,1,19,4,26,1993,-9,5,13,1993,-9,17.38,800,1.08,0.05,0.15,0.01,0.03556,0.00195,-9,-9,0.53,0,-9,-9
1,1,20,5,13,1993,-9,5,30,1993,-9,17.38,800,1.2,0.21,0.181,0.027,0.02971,0.00606,-9,-9,0.49,0.01,-9,-9
1,1,21,5,30,1993,-9,6,16,1993,-9,17.38,800,0.55,0.05,0.067,0.015,0.03076,0.00764,-9,-9,0.34,0.05,-9,-9
1,2,1,6,24,1992,-9,7,11,1992,-9,17.38,1500,1.87,0.08,0.15,0.004,0.01236,0.00341,-9,-9,1.13,0.01,-9,-9
1,2,2,7,11,1992,-9,7,28,1992,-9,17.38,1500,4.97,0.32,0.493,0.043,0.04389,0.003,-9,-9,3.16,0.08,-9,-9
1,2,3,7,28,1992,-9,8,14,1992,-9,17.38,1500,7.84,0.02,0.712,0.036,0.06167,0.00318,-9,-9,6.02,0.04,-9,-9
1,2,4,8,14,1992,-9,8,31,1992,-9,17.38,1500,4.11,0.44,0.425,0.022,0.03526,0.01708,-9,-9,4.03,0.19,-9,-9
1,2,5,8,31,1992,-9,9,17,1992,-9,17.38,1500,3.39,0.19,0.425,0.007,0.03716,0.00183,-9,-9,2.82,0.21,-9,-9
1,2,6,9,17,1992,-9,10,4,1992,-9,17.38,1500,4.88,0.05,0.403,0.036,0.03916,0.00116,-9,-9,3.93,0.33,-9,-9
1,2,7,10,4,1992,-9,10,21,1992,-9,17.38,1500,3.5,0.14,0.375,0.022,0.06149,0.00602,-9,-9,3.29,0.92,-9,-9
1,2,8,10,21,1992,-9,11,7,1992,-9,17.38,1500,2.5,0.02,0.288,0.022,0.02588,0.00133,-9,-9,2.07,0.18,-9,-9
1,2,9,11,7,1992,-9,11,24,1992,-9,17.38,1500,3.09,0.07,0.235,0,0.02612,0.00903,-9,-9,2.41,0.61,-9,-9
1,2,10,11,24,1992,-9,12,11,1992,-9,17.38,1500,3.5,0.11,0.245,0.007,0.04011,0.01102,-9,-9,3.72,0.01,-9,-9
1,2,11,12,11,1992,-9,12,28,1992,-9,17.38,1500,2.41,0.18,0.199,0.057,0.01531,0.00597,-9,-9,1.88,0.21,-9,-9
1,2,12,12,28,1992,-9,1,14,1993,-9,17.38,1500,2.47,0.2,0.26,0.007,0.02364,0.00542,-9,-9,1.92,0.09,-9,-9
1,2,13,1,14,1993,-9,1,31,1993,-9,17.38,1500,1.82,0.13,0.21,0.036,0.02349,0.00008,-9,-9,1.26,0.17,-9,-9
1,2,14,1,31,1993,-9,2,17,1993,-9,17.38,1500,2.32,0.4,0.249,0.029,0.03781,0.01129,-9,-9,1.8,0.12,-9,-9
1,2,15,2,17,1993,-9,3,6,1993,-9,17.38,1500,2.89,0.22,0.303,0.05,0.04231,0.00055,-9,-9,1.7,0.32,-9,-9
1,2,16,3,6,1993,-9,3,23,1993,-9,17.38,1500,4.1,0,0.285,0,0.02531,0.00157,-9,-9,3.2,0.73,-9,-9
1,2,17,3,23,1993,-9,4,9,1993,-9,17.38,1500,3.51,0.01,0.306,0.014,0.03974,0.00417,-9,-9,2.3,0.37,-9,-9
1,2,18,4,9,1993,-9,4,26,1993,-9,17.38,1500,2.19,0.1,0.238,0.007,0.01432,0.00025,-9,-9,1.66,0.16,-9,-9
1,2,19,4,26,1993,-9,5,13,1993,-9,17.38,1500,2.44,0.01,0.238,0.007,0.01696,0.00946,-9,-9,2.14,0.12,-9,-9
1,2,20,5,13,1993,-9,5,30,1993,-9,17.38,1500,2.85,0.04,0.278,0,0.02896,0.0054,-9,-9,2.38,0.07,-9,-9
1,2,21,5,30,1993,-9,6,16,1993,-9,17.38,1500,1.71,0.1,0.177,-9,0.01262,0.00194,-9,-9,1.09,0.01,-9,-9
1,3,1,6,24,1992,-9,7,11,1992,-9,17.38,2800,1.53,0.18,0.138,0.014,0.00838,0.00025,-9,-9,1.67,0.04,-9,-9
1,3,2,7,11,1992,-9,7,28,1992,-9,17.38,2800,2.48,0.03,0.191,0.007,0.01654,0.00045,-9,-9,2.79,0.44,-9,-9
1,3,3,7,28,1992,-9,8,14,1992,-9,17.38,2800,8.22,0.62,0.812,0.014,0.05253,0.00118,1.9,-9,7.22,1.46,-9,-9
1,3,4,8,14,1992,-9,8,31,1992,-9,17.38,2800,5.6,0.01,0.478,0.036,0.05739,0.00049,2.419,-9,6.72,2.44,-9,-9
1,3,5,8,31,1992,-9,9,17,1992,-9,17.38,2800,3.62,0.51,0.256,0.022,0.03672,0.02015,1.802,-9,4.27,0.54,-9,-9
1,3,6,9,17,1992,-9,10,4,1992,-9,17.38,2800,3.23,0.01,0.227,0.007,0.02118,0.00358,1.687,-9,3.15,0.56,-9,-9
1,3,7,10,4,1992,-9,10,21,1992,-9,17.38,2800,2.67,0.01,0.202,0.029,0.01419,0.0015,1.392,-9,2.88,0.25,-9,-9
1,3,8,10,21,1992,-9,11,7,1992,-9,17.38,2800,3.21,0.01,0.22,0.022,0.02197,0.00004,1.693,-9,3.59,0.1,-9,-9
1,3,9,11,7,1992,-9,11,24,1992,-9,17.38,2800,2.49,0.09,0.166,0,0.02448,0.01246,1.017,-9,3.24,0.03,-9,-9
1,3,10,11,24,1992,-9,12,11,1992,-9,17.38,2800,3.53,0.06,0.209,0,0.01633,0.00047,1.096,-9,3.45,0.01,-9,-9
1,3,11,12,11,1992,-9,12,28,1992,-9,17.38,2800,2.03,1.51,0.159,0,0.01289,0.00146,1.048,-9,2.09,0.02,-9,-9
1,3,12,12,28,1992,-9,1,14,1993,-9,17.38,2800,2.2,0.44,0.209,0.1,0.0114,0.00344,0.838,-9,1.9,0.02,-9,-9
1,3,13,1,14,1993,-9,1,31,1993,-9,17.38,2800,1.48,0.01,0.127,0.022,0.00895,0.00271,0.959,-9,1.41,0.1,-9,-9
1,3,14,1,31,1993,-9,2,17,1993,-9,17.38,2800,1.76,0.09,0.145,0.014,0.00953,0.00239,0.863,-9,1.52,0.08,-9,-9
1,3,15,2,17,1993,-9,3,6,1993,-9,17.38,2800,2.45,0.08,0.191,0.007,0.01352,0.00032,0.93,-9,2.21,0.21,-9,-9
1,3,16,3,6,1993,-9,3,23,1993,-9,17.38,2800,2.96,0.01,0.224,0,0.01843,0.00425,1.776,-9,2.6,0.02,-9,-9
1,3,17,3,23,1993,-9,4,9,1993,-9,17.38,2800,3.42,0.84,0.238,0.014,0.01645,0.00133,1.23,-9,3.07,0.02,-9,-9
1,3,18,4,9,1993,-9,4,26,1993,-9,17.38,2800,3.78,0.16,0.278,0.036,0.03058,0.00285,1.511,-9,4.02,0.34,-9,-9
1,3,19,4,26,1993,-9,5,13,1993,-9,17.38,2800,2.79,0.1,0.213,0.007,0.03997,0.00237,1.008,-9,3.01,0.07,-9,-9
1,3,20,5,13,1993,-9,5,30,1993,-9,17.38,2800,2.79,0.15,0.231,0.014,0.02493,0.00386,1.51,-9,2.82,0.22,-9,-9
1,3,21,5,30,1993,-9,6,16,1993,-9,17.38,2800,2.97,0.86,0.356,0.13,0.02068,0.00175,1.069,-9,2.45,0.14,-9,-9
1,4,1,6,24,1992,-9,7,11,1992,-9,17.38,4000,1.88,0.21,0.093,0,0.00623,0.0019,-9,-9,1.55,0.07,-9,-9
1,4,2,7,11,1992,-9,7,28,1992,-9,17.38,4000,2.12,0.11,0.116,0.012,0.02045,0.00214,-9,-9,2.74,0.07,-9,-9
1,4,3,7,28,1992,-9,8,14,1992,-9,17.38,4000,6.35,0.14,0.551,0,0.04271,0.00311,1.631,-9,6.03,0.2,1.4,1.32
1,4,4,8,14,1992,-9,8,31,1992,-9,17.38,4000,4.79,0.07,0.455,0.017,0.0398,0.0045,1.507,-9,4.63,0.18,1.18,0.09
1,4,5,8,31,1992,-9,9,17,1992,-9,17.38,4000,3.95,0.08,0.232,0.012,0.04338,0.0077,1.796,-9,5.94,0.39,-9,-9
1,4,6,9,17,1992,-9,10,4,1992,-9,17.38,4000,2.91,0.1,0.168,0.012,0.02812,0.00017,1.063,-9,4.24,0.17,1.24,3.15
1,4,7,10,4,1992,-9,10,21,1992,-9,17.38,4000,3.19,0.28,0.174,0.023,0.03028,0.00245,1.178,-9,4.69,0.19,4.71,8.15
1,4,8,10,21,1992,-9,11,7,1992,-9,17.38,4000,2.8,0.01,0.159,0.017,0.02535,0.00064,1.131,-9,3.44,0.08,-9,-9
1,4,9,11,7,1992,-9,11,24,1992,-9,17.38,4000,2.81,0.04,0.13,0.017,0.02343,0.00443,1.005,-9,3.45,0.13,1.5,0.34
1,4,10,11,24,1992,-9,12,11,1992,-9,17.38,4000,2.39,0.24,0.125,0.041,0.01379,0.00402,0.878,-9,2.76,0.13,1.4,0.24
1,4,11,12,11,1992,-9,12,28,1992,-9,17.38,4000,2.33,0.14,0.099,0.012,0.01149,0.0043,0.854,-9,2.9,0.13,2.16,0.23
1,4,12,12,28,1992,-9,1,14,1993,-9,17.38,4000,2,0.04,0.061,0.017,0.01398,0.00586,0.867,-9,2.35,0.09,1.81,0.08
1,4,13,1,14,1993,-9,1,31,1993,-9,17.38,4000,1.86,0.07,0.119,0.006,0.01833,0.0033,0.785,-9,1.95,0.14,2.5,1.05
1,4,14,1,31,1993,-9,2,17,1993,-9,17.38,4000,1.59,0.12,0.09,0.006,0.01172,0.00355,0.708,-9,1.58,0.11,1.12,0.37
1,4,15,2,17,1993,-9,3,6,1993,-9,17.38,4000,1.78,0.02,0.099,0.012,0.01584,0.00294,1.054,-9,1.85,0.11,1.98,0.53
1,4,16,3,6,1993,-9,3,23,1993,-9,17.38,4000,2.51,0.17,0.145,0.023,0.02133,0.00086,1.593,-9,3.42,0.26,2.89,0.21
1,4,17,3,23,1993,-9,4,9,1993,-9,17.38,4000,3.57,0.35,0.212,0.064,0.02675,0.00094,1.51,-9,5.52,0.07,1.68,1.08
1,4,18,4,9,1993,-9,4,26,1993,-9,17.38,4000,3.54,0.11,0.18,0.012,0.03025,0.00204,1.296,-9,4.57,0.03,1.83,2.16
1,4,19,4,26,1993,-9,5,13,1993,-9,17.38,4000,2.06,0.02,0.128,0.012,0.01901,0.00008,0.928,-9,2.74,0.13,3.43,1.1
1,4,20,5,13,1993,-9,5,30,1993,-9,17.38,4000,2.32,0.02,0.139,0.012,0.02427,0.00164,1.215,-9,3.04,0.2,3.14,1.36
1,4,21,5,30,1993,-9,6,16,1993,-9,17.38,4000,2.39,-9,0.174,-9,0.02107,0.00841,1.054,-9,3.25,0.06,2.72,0.13
2,1,1,9,13,1993,0,10,1,1993,5,18.2,800,0.87,0.05,0.07,0,0.01155,0.00125,-9,0.149,2.74,0.49,-9,-9
2,1,2,10,1,1993,5,10,19,1993,10,18.2,800,1.55,0.08,0.19,0.01,0.05357,0.00592,-9,0.232,2.93,0.18,-9,-9
2,1,3,10,19,1993,10,11,6,1993,15,18.2,800,1.13,0.08,0.12,0.01,0.04566,0.00038,-9,0.217,3.67,0.34,-9,-9
2,1,4,11,6,1993,15,11,24,1993,20,18.2,800,1.95,0.12,0.16,0.01,0.03036,0.00806,-9,0.383,4.86,0.33,-9,-9
2,1,5,11,24,1993,20,12,13,1993,1,18.2,800,3.46,0.52,0.19,0,0.03137,0.00188,-9,0.304,8.92,0.11,-9,-9
2,1,6,12,13,1993,1,12,31,1993,6,18.2,800,1.56,0.09,0.14,0.01,0.02219,0.00595,-9,0.276,4.48,0.43,-9,-9
2,1,7,12,31,1993,6,1,18,1994,11,18.2,800,0.86,0.11,0.09,0.02,0.02236,0.00303,-9,0.156,2.29,0.04,-9,-9
2,1,8,1,18,1994,11,2,5,1994,16,18.2,800,1.04,0.07,0.09,0.01,0.01251,0.00311,-9,0.222,3.07,0.15,-9,-9
2,1,9,2,5,1994,16,2,23,1994,21,18.2,800,2.07,0.22,0.19,0.05,0.01846,0.00266,-9,0.429,6.47,0.74,-9,-9
2,1,10,2,23,1994,21,3,14,1994,2,18.2,800,2.4,0.05,0.25,0.01,0.06856,0.00495,-9,0.379,6.85,0.16,-9,-9
2,1,11,3,14,1994,2,4,1,1994,7,18.2,800,2.29,0.2,0.21,0.02,0.02878,0.00803,-9,0.492,5.96,0.04,-9,-9
2,1,12,4,1,1994,7,4,19,1994,12,18.2,800,3.48,0.41,0.22,0.04,0.02769,0.00546,-9,0.686,6.19,0.78,-9,-9
2,1,13,4,19,1994,12,5,7,1994,17,18.2,800,2.47,0.03,0.22,0.02,0.03526,0.00041,-9,0.6,6.94,0.27,-9,-9
2,1,14,5,7,1994,17,5,25,1994,22,18.2,800,0.79,0.07,0.07,0.01,0.01277,0.00152,-9,0.194,2.67,0.1,-9,-9
2,1,15,5,25,1994,22,6,13,1994,3,18.2,800,0.86,0.09,0.07,0.01,0.00936,0.00034,-9,0.235,2.47,0.24,-9,-9
2,1,16,6,13,1994,3,7,1,1994,8,18.2,800,4.62,0.38,0.38,0,0.05103,0.02805,-9,0.693,11.15,0.87,-9,-9
2,1,17,7,1,1994,8,7,19,1994,13,18.2,800,2.07,0.14,0.2,0.02,0.0384,0.00398,-9,0.552,5.4,0.44,-9,-9
2,1,18,7,19,1994,13,8,6,1994,18,18.2,800,0.63,0.06,0.06,0,0.01644,0.00025,-9,0.102,1.7,0.22,-9,-9
2,1,19,8,6,1994,18,8,24,1994,23,18.2,800,0.22,0.02,0.03,0,0.00504,0.00023,-9,0.047,0.37,0.06,-9,-9
2,1,20,8,24,1994,23,9,12,1994,4,18.2,800,0.51,0.05,0.05,0,0.02485,0.01775,-9,0.097,1.05,0.07,-9,-9
2,1,21,9,12,1994,4,9,30,1994,9,18.2,800,0.83,0.08,0.09,0.01,0.01376,0.00074,-9,0.116,2.12,0.09,-9,-9
2,2,1,9,13,1993,0,10,1,1993,5,18.2,1500,1.23,0.1,0.08,0.01,0.00931,0.00221,-9,0.329,3.26,0.45,-9,-9
2,2,2,10,1,1993,5,10,19,1993,10,18.2,1500,1.11,0.03,0.08,0,0.01615,0.00333,-9,0.299,2.78,0.76,-9,-9
2,2,3,10,19,1993,10,11,6,1993,15,18.2,1500,0.33,0.01,0.02,0,0.00358,0.00132,-9,0.132,0.93,0.01,-9,-9
2,2,4,11,6,1993,15,11,24,1993,20,18.2,1500,1.31,0.07,0.08,0.01,0.00956,0.00158,-9,0.394,3.86,0.26,-9,-9
2,2,5,11,24,1993,20,12,13,1993,1,18.2,1500,2.7,0.23,0.15,0.01,0.01383,0.00136,-9,0.593,6.72,0.21,-9,-9
2,2,6,12,13,1993,1,12,31,1993,6,18.2,1500,1.63,0.02,0.11,0,0.01511,0.00012,-9,0.381,5.61,0.03,-9,-9
2,2,7,12,31,1993,6,1,18,1994,11,18.2,1500,1.82,0.03,0.12,0.01,0.01568,0.00086,-9,0.576,7.07,0.05,-9,-9
2,2,8,1,18,1994,11,2,5,1994,16,18.2,1500,2.37,0.03,0.16,0,0.01779,0.00219,-9,0.709,8.64,0.28,-9,-9
2,2,9,2,5,1994,16,2,23,1994,21,18.2,1500,2.33,0.01,0.15,0,0.01737,0.00059,-9,0.801,8.59,0.34,-9,-9
2,2,10,2,23,1994,21,3,14,1994,2,18.2,1500,2.5,0.06,0.17,0.01,0.01844,0.00163,-9,0.876,8.74,0.32,-9,-9
2,2,11,3,14,1994,2,4,1,1994,7,18.2,1500,3.2,0.22,0.28,0.01,0.0901,0.00848,-9,0.723,9.86,1.97,-9,-9
2,2,12,4,1,1994,7,4,19,1994,12,18.2,1500,3.4,0.23,0.24,0.03,0.05844,0.00644,-9,1.077,11.46,0.08,-9,-9
2,2,13,4,19,1994,12,5,7,1994,17,18.2,1500,2.73,0.03,0.19,0,0.01715,0.00272,-9,0.905,8.6,0.57,-9,-9
2,2,14,5,7,1994,17,5,25,1994,22,18.2,1500,1.81,0.1,0.14,0.01,0.02187,0.00015,-9,0.518,5.72,0.11,-9,-9
2,2,15,5,25,1994,22,6,13,1994,3,18.2,1500,3.51,0.09,0.23,0.02,0.01895,0.00003,-9,0.731,11.86,2.49,-9,-9
2,2,16,6,13,1994,3,7,1,1994,8,18.2,1500,1.44,0.04,0.16,0.01,0.01354,0.00115,-9,0.294,3.21,0.08,-9,-9
2,2,17,7,1,1994,8,7,19,1994,13,18.2,1500,0.95,0.03,0.09,0,0.01238,0.00088,-9,0.521,3.78,0.07,-9,-9
2,2,18,7,19,1994,13,8,6,1994,18,18.2,1500,4.09,0.53,0.35,0.04,0.01803,0.00047,-9,1.395,9.88,0.35,-9,-9
2,2,19,8,6,1994,18,8,24,1994,23,18.2,1500,1.74,0.11,0.14,0.01,0.0357,0.00082,-9,0.567,5.61,0.07,-9,-9
2,2,20,8,24,1994,23,9,12,1994,4,18.2,1500,1.38,0.08,0.09,0.01,0.01764,0.00207,-9,0.454,4.72,0.09,-9,-9
2,2,21,9,12,1994,4,9,30,1994,9,18.2,1500,0.49,0.03,0.03,0.01,0.00838,0.00104,-9,0.203,2.31,0.23,-9,-9
2,3,4,11,6,1993,15,11,24,1993,20,18.2,2800,2.05,0.11,0.11,0,0.01886,0.00245,1.381,0.69,9.17,0.28,-9,-9
2,3,5,11,24,1993,20,12,13,1993,1,18.2,2800,2.26,0.05,0.12,0,0.01343,0.00116,1.377,0.829,8.78,0.45,-9,-9
2,3,6,12,13,1993,1,12,31,1993,6,18.2,2800,2.45,0.02,0.13,0,0.02015,0.00079,1.523,0.781,10.52,1.7,-9,-9
2,3,7,12,31,1993,6,1,18,1994,11,18.2,2800,1.67,0.03,0.09,0.01,0.01368,0.00066,0.885,0.545,6.53,0.24,-9,-9
2,3,8,1,18,1994,11,2,5,1994,16,18.2,2800,2.5,0.02,0.13,0.01,0.02404,0.01774,1.288,0.973,9.72,0.54,-9,-9
2,3,9,2,5,1994,16,2,23,1994,21,18.2,2800,2.48,0.06,0.12,0.01,0.01939,0.00245,1.175,1.002,9.75,0.06,-9,-9
2,3,10,2,23,1994,21,3,14,1994,2,18.2,2800,2.25,0.03,0.12,0,0.02083,0.00149,0.992,0.91,8.32,0.09,-9,-9
2,3,11,3,14,1994,2,4,1,1994,7,18.2,2800,3.11,0.1,0.13,0.01,0.01249,0.00176,1.373,1.059,14.94,3.18,-9,-9
2,3,12,4,1,1994,7,4,19,1994,12,18.2,2800,3.07,0.22,0.13,0.01,0.01615,0.00033,1.756,1.029,12.37,0.04,-9,-9
2,3,13,4,19,1994,12,5,7,1994,17,18.2,2800,3.26,0.02,0.19,0.01,0.01987,0.0013,1.348,1.411,11.79,0.72,-9,-9
2,3,14,5,7,1994,17,5,25,1994,22,18.2,2800,2.88,0.04,0.21,0.01,0.03183,0.00502,1.298,1.198,9.17,0.1,-9,-9
2,3,15,5,25,1994,22,6,13,1994,3,18.2,2800,3.39,0.02,0.21,0.02,0.01831,0.00046,1.445,1.233,10.58,1.32,-9,-9
2,3,16,6,13,1994,3,7,1,1994,8,18.2,2800,2.8,0.03,0.18,0,0.01894,0.00247,1.223,1.369,10.47,0.06,-9,-9
2,3,17,7,1,1994,8,7,19,1994,13,18.2,2800,2.96,0.06,0.17,0,0.01339,0.00274,1.311,1.498,10.22,0.92,-9,-9
