OFP 3200m Flux Data,,,,,,,,,,,,,,,,,,,,,,
Database current as of 6Nov2020,,,,,,,,,,,,,,,,,,,,,,
,Seq.Day,,,SAMPLE START DATE,,,,,,,,,,particles,Supernatant,,,,,,,
,(Start,Mid-seq.,,,,Julian,mid,mid ,Days,Mass flux,CaCO3flux,Corg flux,N flux,Ppart flux,Psuper flux,Opal flux,lith flux,,,,,
Sample ID,Day),Day,Year,Mo.,Day,Day,JDAY,JDAY180,open,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,ug m-2 d-1,ug m-2 d-1,mg/m2/d,mg/m2/d,,,,,
%  6/78,0,31,1978,4,6,96,127,309,62,35.07,19.21,1.78,0.21,,,5.12,6.63,,,,,
%  8/78,62,93,1978,6,7,158,189,7,62,26.08,14.58,1.25,0.16,,,3.63,4.99,,,,,
% 10/78,125,156,1978,8,9,221,252,70,62,25.35,14.38,1.21,0.15,,,3.38,4.82,,,,,
%  2/79,250,282,1978,12,12,346,13,195,64,41.04,23.02,1.96,0.25,,,6.53,6.99,,,,,
%  5/79,353,387,1979,3,25,84,118,300,68,58.82,31.69,3.05,0.38,,,9.43,10.69,,,,,
%  7/79,421,451,1979,6,1,152,182,1,60,24.24,13.45,1.03,0.13,,,3.35,5.08,,,,,
%9/79???,,,,,,,,,,,,,,,,,,,,,,
% 12/79,555,581,1979,10,13,286,312,130,52,20.38,10.48,0.76,0.10,,,,,,,,,
%  2/80,609,639.5,1979,12,6,340,5.5,188,61,50.05,30.22,2.69,0.33,,,7.44,6.21,,,,,
%  4/80,672,702.5,1980,2,7,38,68.5,251,61,51.13,33.23,2.21,0.26,,,5.47,7.34,,,,,
%  6/80,741,772.5,1980,4,16,108,139.5,322,63,51.09,29.25,2.38,0.30,,,7.61,8.77,,,,,
%  8/80,807,833,1980,6,21,173,199,17,52,17.95,9.62,0.84,0.11,,,2.50,3.89,,,,,
% 10/80,859,891,1980,8,12,225,257,75,64,22.84,13.03,1.01,0.12,,,3.43,4.06,,,,,
% 12/80,926,952.5,1980,10,18,292,318.5,137,53,31.26,18.12,1.31,0.18,,,3.94,6.16,,,,,
%2/81???,,,,,,,,,,,,,,,,,,,,,,
%  4/81,1037,1067.5,1981,2,6,37,67.5,250,61,52.80,30.09,2.65,0.32,,,7.94,8.67,,,,,
%  5/81,1099,1123,1981,4,9,99,123,305,48,120.40,79.50,5.58,0.62,,,18.55,9.51,,,,,
%  7/81,1148,1175.5,1981,5,28,148,175.5,358,55,45.59,28.24,1.88,0.22,,,7.27,5.75,,,,,
%  9/81,1203,1231,1981,7,22,203,231,49,56,34.75,19.82,1.52,0.18,,,4.64,6.79,,,,,
% 12/81,1261,1299,1981,9,18,230,268,86,76,30.57,16.14,1.32,0.16,,,4.55,6.85,,,,,
%  2/82,1337,1368,1981,12,3,337,368,186,62,41.61,24.48,1.92,0.24,,,6.24,6.48,,,,,
%  4/82,1399,1430.5,1982,2,3,34,65.5,248,63,50.46,29.80,2.50,0.32,,,7.11,7.82,,,,,
%  6/82,1469,1497,1982,4,14,104,132,314,56,55.56,27.39,2.30,0.28,,,11.61,11.27,,,,,
%  8/82,1528,1561.5,1982,6,12,163,196.5,15,67,81.80,39.98,3.70,0.41,,,19.54,13.77,,,,,
% 12/82,1657,1682,1982,10,19,292,317,135,50,39.14,18.61,1.51,0.20,,,6.19,10.86,,,,,
%  3/83,1748,1777,1983,1,18,18,47,229,58,74.84,56.76,2.84,0.34,,,7.16,4.39,,,,,
%  5/83,1806,1841,1983,3,17,76,111,293,70,55.05,32.87,2.65,0.33,,,7.93,8.15,,,,,
%  7/83,1876,1900,1983,5,26,146,170,352,48,33.60,20.01,1.45,0.18,,,4.69,5.56,,,,,
%  9/83,1925,1959.5,1983,7,14,195,229.5,48,69,46.01,26.14,2.16,0.26,,,7.95,6.96,,,,,
% 11/83,1994,2022,1983,9,21,264,292,110,56,26.51,14.17,1.15,0.14,,,3.47,6.22,,,,,
%  1/84,2050,2081.5,1983,11,16,320,351.5,170,63,26.16,14.11,1.14,0.13,,,3.64,5.79,,,,,
%  3/84,2113,2141,1984,1,18,18,46,228,56,16.70,10.30,0.74,0.09,,,2.12,2.58,,,,,
%  5/84,2184,2209,1984,3,29,89,114,296,50,43.96,29.60,1.75,0.22,,,3.53,6.80,,,,,
OFP,,,,,,,,,,,,,,,,,,,,,,
%  5/84,2184,2209,1984,3,29,89,114,296,50,33.23,18.77,1.36,0.18,,,4.89,6.45,,,,,
%  9/84,2305,2332,1984,7,28,210,237,55,54,30.46,17.45,1.32,0.18,,,3.75,6.22,,,,,
%  1/85,2417,2446,1984,11,17,322,351,169,58,24.83,14.10,1.12,,,,2.74,5.40,,,,,
%  3/85,2492,2518.5,1985,1,31,31,57.5,240,53,42.98,23.89,2.59,0.33,,,4.75,8.38,,,,,
%  5/85,2548,2571,1985,3,28,87,110,292,46,43.84,25.28,2.23,0.32,,,6.58,6.87,,,,,
%  7/85,2595,2627,1985,5,14,134,166,348,64,29.18,16.55,1.27,0.20,,,3.17,6.54,,,,,
% 10/85,2679,2707,1985,8,6,218,246,64,56,28.97,15.95,1.41,0.20,,,3.12,6.65,,,,,
% 11/85,2737,2760,1985,10,3,276,299,117,46,33.13,18.44,1.51,0.22,,,4.02,7.19,,,,,
%  1/86,2784,2815,1985,11,19,323,354,172,62,44.15,27.41,1.89,0.22,,,4.83,7.57,,,,,
%  4/86,2853,2885,1986,1,27,27,59,241,64,50.74,29.89,2.15,0.28,,,6.39,9.51,,,,,
%  6/86,2920,2949.5,1986,4,4,94,123.5,306,59,38.74,23.93,1.65,0.19,,,4.56,6.46,,,,,
%  7/86,2980,3005,1986,6,3,154,179,361,50,29.31,16.88,1.52,0.15,,,3.36,5.56,,,,,
%  1/87,3144,3178,1986,11,14,318,352,170,68,25.86,14.99,1.17,0.13,,,2.54,5.64,,,,,
%  3/87,3213,3243.5,1987,1,22,22,52.5,235,61,48.00,29.47,1.92,0.31,,,5.07,9.03,,,,,
%  5/87,3277,3303.5,1987,3,27,86,112.5,295,53,44.04,29.06,1.91,0.26,,,4.69,5.90,,,,,
%  7/87,3331,3365,1987,5,20,140,174,356,68,33.48,20.63,1.28,0.17,,,4.04,5.87,,,,,
%  9/87,3400,3428,1987,7,28,209,237,55,56,36.52,19.34,1.41,0.19,,,4.45,9.48,,,,,
% 11/87,3457,3481,1987,9,23,266,290,108,48,29.29,16.09,1.04,0.13,,,3.26,7.55,,,,,
%  1/88,3506,3537,1987,11,11,315,346,164,62,37.38,23.73,1.79,0.21,,,3.84,5.69,,,,,
%  3/88,3570,3600,1988,1,14,14,44,226,60,38.52,23.97,1.87,0.27,,,4.14,6.12,,,,,
%  5/88,3635,3664,1988,3,19,79,108,290,58,49.31,29.02,2.53,0.40,,,6.31,8.17,,,,,
%  7/88,3694,3721.5,1988,5,17,138,165.5,348,55,50.44,29.48,2.36,0.35,,,6.63,8.90,,,,,
%  9/88,3751,3781.5,1988,7,13,195,225.5,44,61,36.37,20.18,1.64,0.28,,,4.83,7.59,,,,,
% 11/88,3813,3844,1988,9,13,257,288,106,62,32.54,18.59,1.43,0.21,,,3.82,6.85,,,,,
%  1/89,3876,3914,1988,11,15,320,358,176,76,37.75,22.84,1.56,0.19,,,4.04,7.27,,,,,
%  4/89,3954,3984.5,1989,2,1,32,62.5,245,61,58.40,34.41,2.76,0.35,,,7.33,10.32,,,,,
%  6/89,4016,4047,1989,4,4,94,125,307,62,31.12,17.24,1.34,0.16,,,3.60,7.19,,,,,
%  8/89-1,4082,4089.5,1989,6,9,160,167.5,350,15,19.98,10.80,0.97,0.11,,,,,,,,,
%  8/89-2,4097,4104.5,1989,6,24,175,182.5,1,15,33.30,19.63,1.42,0.18,,,3.85,6.55,,,,,
%  8/89-3,4112,4119.5,1989,7,9,190,197.5,16,15,34.37,21.55,1.32,0.18,,,3.93,5.85,,,,,
%  8/89-4,4127,4134.5,1989,7,24,205,212.5,31,15,22.58,12.74,1.03,0.13,,,,,,,,,
% 10/89-1,4144,4151.5,1989,8,10,222,229.5,48,15,23.49,11.39,1.30,0.14,,,,,,,,,
% 10/89-2,4159,4166.5,1989,8,25,237,244.5,63,15,30.86,17.22,1.32,0.17,,,4.08,6.53,,,,,
% 10/89-3,4174,4181.5,1989,9,9,252,259.5,78,15,35.67,20.43,1.47,0.19,,,4.57,7.30,,,,,
% 10/89-4,4189,4196.5,1989,9,24,267,274.5,93,15,38.86,20.68,1.89,0.22,,,5.23,8.61,,,,,
% 12/89-1,4207,4214.5,1989,10,12,285,292.5,111,15,26.87,15.06,1.20,0.15,,,,,,,,,
% 12/89-2,4222,4229.5,1989,10,27,300,307.5,126,15,21.33,12.44,0.92,0.12,,,,,,,,,
% 12/89-3,4237,4244.5,1989,11,11,315,322.5,141,15,24.76,14.80,1.16,0.14,,,,,,,,,
% 12/89-4,4252,4259.5,1989,11,26,330,337.5,156,15,27.75,16.60,1.16,0.15,,,3.38,5.09,,,,,
%  2/90-1,4268,4275,1989,12,12,346,353,171,14,17.21,9.73,0.83,0.11,,,,,,,,,
%  2/90-2,4282,4289,1989,12,26,360,367,185,14,25.36,14.10,1.16,0.13,,,2.65,5.95,,,,,
%  2/90-3,4296,4303,1990,1,9,9,16,198,14,26.58,16.57,1.27,0.15,,,2.71,4.38,,,,,
%  2/90-4,4310,4316.5,1990,1,23,23,29.5,212,13,16.11,9.72,0.63,0.08,,,,,,,,,
%  4/90-1,4326,4333,1990,2,8,39,46,228,14,16.19,9.21,0.78,0.09,,,,,,,,,
%  4/90-2,4340,4347,1990,2,22,53,60,242,14,32.33,20.88,1.29,0.17,,,3.35,5.15,,,,,
%  4/90-3,4354,4361,1990,3,8,67,74,256,14,36.30,22.90,1.62,0.19,,,4.28,5.38,,,,,
%  4/90-4,4368,4375,1990,3,22,81,88,270,14,77.48,49.31,4.46,0.54,,,10.46,7.44,,,,,
%  8/90-1,4411,4418.5,1990,5,4,124,131.5,314,15,15.02,9.27,0.73,0.10,,,,,,,,,
%  8/90-2,4426,4433.5,1990,5,19,139,146.5,329,15,32.17,20.88,1.34,0.16,,,3.28,4.92,,,,,
%  8/90-3,4441,4445,1990,6,3,154,158,340,8,31.39,19.35,1.32,0.18,,,,,,,,,
%  8/90-4,4453,4460,1990,6,15,166,173,355,14,37.95,23.69,1.45,0.19,,,4.58,6.35,,,,,
%  8/90-5,4467,4473,1990,6,29,180,186,4,12,42.22,25.28,1.80,0.21,,,5.62,7.18,,,,,
%  8/90-6,4479,4486,1990,7,11,192,199,17,14,39.61,24.09,1.61,0.20,,,5.21,6.60,,,,,
%  8/90-7,4493,4500,1990,7,25,206,213,31,14,36.01,22.43,1.41,0.18,,,4.62,5.72,,,,,
% 12/90-1,4509,4517,1990,8,10,222,230,48,16,20.87,12.05,0.98,0.12,,,2.53,4.03,,,,,
% 12/90-2,4525,4533,1990,8,26,238,246,64,16,29.23,16.73,1.34,0.16,,,3.51,5.92,,,,,
% 12/90-3,4541,4549.5,1990,9,11,254,262.5,81,17,21.54,12.40,0.92,0.12,,,2.30,4.73,,,,,
% 12/90-4,4558,4566.5,1990,9,28,271,279.5,98,17,27.40,16.18,1.24,0.15,,,3.09,5.29,,,,,
% 12/90-5,4579,4585.5,1990,10,19,292,298.5,117,13,31.78,19.60,1.23,0.18,,,3.75,5.61,,,,,
% 12/90-6,4592,4598.5,1990,11,1,305,311.5,130,13,33.23,21.08,1.33,0.18,,,,,,,,,
% 12/90-7,4605,4611.5,1990,11,14,318,324.5,143,13,27.15,18.79,1.15,0.14,,,,,,,,,
% 12/90-8,4618,4624.5,1990,11,27,331,337.5,156,13,22.25,13.52,0.91,0.11,,,,,,,,,
%  2/91-1,4634,4640.5,1990,12,13,347,353.5,172,13,25.00,17.69,1.24,0.17,,,,,,,,,
%  2/91-2,4647,4654,1990,12,26,360,367,185,14,81.60,55.76,4.48,0.55,,,8.83,6.70,,,,,
%  2/91-3,4661,4668,1991,1,9,9,16,198,14,62.44,41.36,3.61,0.43,,,6.76,6.01,,,,,
%  2/91-4,4675,4682,1991,1,23,23,30,212,14,34.79,21.98,1.51,0.18,,,3.58,5.75,,,,,
%  4/91-1,4690,4698,1991,2,7,38,46,228,16,25.23,15.64,1.10,0.13,,,,,,,,,
%  4/91-2,4706,4714,1991,2,23,54,62,244,16,50.88,32.55,2.54,0.33,,,5.34,7.14,,,,,
%  4/91-3,4722,4729.5,1991,3,11,70,77.5,260,15,57.74,34.49,2.40,0.32,,,6.58,11.15,,,,,
%  4/91-4,4737,4744.5,1991,3,26,85,92.5,275,15,51.19,30.36,2.30,0.29,,,6.82,8.70,,,,,
%  8/91-1,4753,4761,1991,4,11,101,109,291,16,65.88,36.77,3.27,0.42,,,10.09,11.49,,,,,
%  8/91-2,4769,4776.5,1991,4,27,117,124.5,307,15,76.56,49.58,2.81,0.37,,,10.06,10.46,,,,,
%  8/91-3,4784,4791.5,1991,5,12,132,139.5,322,15,44.24,28.57,1.64,0.20,,,5.27,6.64,,,,,
%  8/91-4,4799,4834.5,1991,5,27,147,182.5,1,71,35.20,23.12,1.36,0.16,,,3.82,5.12,,,,,
% 10/91-1,4871,4878,1991,8,7,219,226,44,14,22.38,13.17,1.06,0.12,,,2.19,4.57,,,,,
% 10/91-2,4885,4892,1991,8,21,233,240,58,14,30.69,18.94,1.28,0.15,,,3.33,5.48,,,,,
% 10/91-3,4899,4906,1991,9,4,247,254,72,14,42.00,26.11,1.57,0.19,,,4.68,7.61,,,,,
% 10/91-4,4913,4920,1991,9,18,261,268,86,14,29.87,17.87,1.24,0.14,,,3.29,5.88,,,,,
% 10/91-5,4927,4934,1991,10,2,275,282,100,14,29.96,18.70,1.16,0.14,,,3.31,5.28,,,,,
% 12/91-1,4942,4950,1991,10,17,290,298,116,16,13.86,8.48,0.67,0.08,,,,,,,,,
% 12/91-2,4958,4965.5,1991,11,2,306,313.5,132,15,24.37,15.10,1.03,0.12,,,,,,,,,
% 12/91-3,4973,4981,1991,11,17,321,329,147,16,34.13,20.76,1.53,0.16,,,,,,,,,
% 4/92-1,4992,4999,1991,12,6,340,347,165,14,12.03,6.73,0.52,0.06,,,,,,,,,
% 4/92-2,5006,5013.5,1991,12,20,354,361.5,180,15,28.67,16.71,1.34,0.16,,,,,,,,,
% 4/92-3,5021,5028.5,1992,1,4,4,11.5,194,15,61.94,34.40,2.76,0.32,,,,,,,,,
% 4/92-4,5036,5043.5,1992,1,19,19,26.5,209,15,55.85,33.63,2.56,0.30,,,,,,,,,
% 4/92-5,5054,5061.5,1992,2,6,37,44.5,227,15,73.63,43.05,3.25,0.42,,,,,,,,,
% 4/92-6,5069,5076.5,1992,2,21,52,59.5,242,15,84.86,56.72,4.06,0.57,,,,,,,,,
%  4/92-7,5084,5091.5,1992,3,7,67,74.5,257,15,58.24,38.24,2.56,0.32,,,,,,,,,
%  4/92-8,5099,5106.5,1992,3,22,82,89.5,272,15,44.42,27.92,1.96,0.22,,,,,,,,,
%  6/92-1,5117,5125,1992,4,9,100,108,290,16,33.61,18.60,1.63,0.18,,,,,,,,,
%  6/92-2,5133,5140.5,1992,4,25,116,123.5,306,15,40.25,23.77,1.52,0.17,,,,,,,,,
%  6/92-3,5148,5155.5,1992,5,10,131,138.5,321,15,49.37,28.63,1.97,0.25,,,,,,,,,
%  6/92-4,5163,5170.5,1992,5,25,146,153.5,336,15,47.02,27.65,1.76,0.22,,,,,,,,,
%  8/92-1,5179,5186.5,1992,6,10,162,169.5,352,15,35.09,21.14,1.45,0.16,,,,,,,,,
%  8/92-2,5194,5202,1992,6,25,177,185,3,16,35.75,19.50,1.41,0.21,,,,,,,,,
% 10/92-1,5242,5249,1992,8,12,225,232,50,14,21.35,11.46,0.88,0.10,,,,,,,,,
% 10/92-2,5256,5263,1992,8,26,239,246,64,14,33.94,20.52,1.49,0.17,,,,,,,,,
% 10/92-3,5270,5277,1992,9,9,253,260,78,14,39.42,23.15,1.94,0.23,,,,,,,,,
% 10/92-4,5284,5290.5,1992,9,23,267,273.5,92,13,34.41,19.28,1.45,0.19,,,,,,,,,
% 12/92-1,5299,5305.5,1992,10,8,282,288.5,107,13,14.32,8.68,0.63,0.07,,,,,,,,,
% 12/92-2,5312,5319,1992,10,21,295,302,120,14,34.31,19.32,1.49,0.18,,,,,,,,,
% 12/92-3,5326,5333,1992,11,4,309,316,134,14,20.99,12.17,0.95,0.13,,,,,,,,,
% 12/92-4,5340,5346.5,1992,11,18,323,329.5,148,13,20.90,12.10,1.01,0.12,,,,,,,,,
%  4/93-1,5356,5363.5,1992,12,4,339,346.5,165,15,15.37,8.10,0.74,0.09,,,,,,,,,
%  4/93-2,5371,5378.5,1992,12,19,354,361.5,180,15,20.57,10.97,1.08,0.12,,,,,,,,,
%  4/93-3,5386,5393.5,1993,1,3,3,10.5,193,15,33.56,18.80,1.79,0.15,,,,,,,,,
%  4/93-4,5401,5408.5,1993,1,18,18,25.5,208,15,29.54,17.48,1.49,0.14,,,,,,,,,
%  4/93-5,5419,5426.5,1993,2,5,36,43.5,226,15,28.08,16.74,1.37,0.14,,,,,,,,,
%  4/93-6,5434,5441.5,1993,2,20,51,58.5,241,15,53.76,31.04,3.07,0.33,,,,,,,,,
%  4/93-7,5449,5456.5,1993,3,7,66,73.5,256,15,57.57,33.25,3.65,0.50,,,,,,,,,
%  4/93-8,5464,5471.5,1993,3,22,81,88.5,271,15,56.47,30.34,2.76,0.32,,,,,,,,,
%  6/93-1,5480,5488,1993,4,7,97,105,287,16,26.62,16.59,1.12,0.14,,,,,,,,,
%  6/93-2,5496,5504,1993,4,23,113,121,303,16,46.04,26.83,2.03,0.21,,,,,,,,,
%  6/93-3,5512,5519.5,1993,5,9,129,136.5,319,15,46.60,26.64,2.28,0.24,,,,,,,,,
%  6/93-4,5527,5534.5,1993,5,24,144,151.5,334,15,39.97,23.75,1.62,0.21,,,,,,,,,
%  8/93-1,5544,5550.5,1993,6,10,161,167.5,350,13,17.05,10.06,0.82,0.10,,,,,,,,,
%  8/93-2,5557,5564,1993,6,23,174,181,363,14,22.84,13.05,1.00,0.13,,,,,,,,,
%  8/93-3,5571,5578,1993,7,7,188,195,13,14,32.20,19.51,1.46,0.21,,,,,,,,,
%  8/93-4,5585,5591.5,1993,7,21,202,208.5,27,13,35.94,20.99,1.55,0.20,,,,,,,,,
% 10/93-1,5599,5607,1993,8,4,216,224,42,16,17.40,9.60,0.75,0.08,,,,,,,,,
% 10/93-2,5615,5622.5,1993,8,20,232,239.5,58,15,20.18,11.36,0.92,0.09,,,,,,,,,
% 10/93-3,5630,5638,1993,9,4,247,255,73,16,24.34,13.55,1.21,0.12,,,,,,,,,
% 10/93-4,5646,5653.5,1993,9,20,263,270.5,89,15,35.20,20.04,1.69,0.18,,,,,,,,,
%  1/94-1,5662,5669,1993,10,6,279,286,104,14,13.53,7.98,0.63,0.07,,,,,,,,,
%  1/94-2,5676,5683,1993,10,20,293,300,118,14,17.24,9.62,0.75,0.08,,,,,,,,,
%  1/94-3,5690,5697,1993,11,3,307,314,132,14,15.94,9.39,0.77,0.10,,,,,,,,,
%  1/94-4,5704,5710.5,1993,11,17,321,327.5,146,13,34.64,20.03,1.62,0.17,,,,,,,,,
%  1/94-5,5720,5726.5,1993,12,3,337,343.5,162,13,28.18,16.43,1.23,0.13,,,,,,,,,
%  1/94-6,5733,5739.5,1993,12,16,350,356.5,175,13,31.97,19.38,1.35,0.16,,,,,,,,,
%  1/94-7,5746,5753,1993,12,29,363,370,188,14,30.89,18.36,1.50,0.17,,,,,,,,,
%  1/94-8,5760,5766.5,1994,1,12,12,18.5,201,13,25.25,13.59,1.19,0.12,,,,,,,,,
%  5/94-1,5774,5781,1994,1,26,26,33,215,14,13.08,6.95,0.59,0.07,,,,,,,,,
%  5/94-2,5788,5795,1994,2,9,40,47,229,14,40.84,23.90,2.08,0.23,,,,,,,,,
%  5/94-3,5802,5809,1994,2,23,54,61,243,14,39.46,24.05,1.97,0.23,,,,,,,,,
%  5/94-4,5816,5822.5,1994,3,9,68,74.5,257,13,51.45,31.77,2.55,0.30,,,,,,,,,
%  5/94-5,5832,5839.5,1994,3,25,84,91.5,274,15,61.16,35.57,3.00,0.33,,,,,,,,,
%  5/94-6,5847,5854.5,1994,4,9,99,106.5,289,15,50.53,31.31,2.20,0.25,,,,,,,,,
%  5/94-7,5862,5869.5,1994,4,24,114,121.5,304,15,27.84,16.74,1.15,0.12,,,,,,,,,
%  5/94-8,5877,5884.5,1994,5,9,129,136.5,319,15,31.19,18.43,1.33,0.13,,,,,,,,,
%  7/94-1,5893,5899,1994,5,25,145,151,333,12,11.36,6.23,0.55,0.05,,,,,,,,,
%  7/94-2,5905,5911,1994,6,6,157,163,345,12,19.04,11.22,0.83,0.09,,,,,,,,,
%  7/94-3,5917,5923,1994,6,18,169,175,357,12,42.26,25.64,1.71,0.19,,,,,,,,,
%  7/94-4,5929,5935,1994,6,30,181,187,5,12,30.21,18.22,1.31,0.15,,,,,,,,,
%  9/94-1,5942,5950,1994,7,13,194,202,20,16,15.65,8.67,0.69,0.08,,,,,,,,,
%  9/94-2,5958,5965.5,1994,7,29,210,217.5,36,15,15.79,8.85,0.67,0.07,,,,,,,,,
%  9/94-3,5973,5981,1994,8,13,225,233,51,16,39.81,22.17,1.76,0.20,,,,,,,,,
%  9/94-4,5989,5996.5,1994,8,29,241,248.5,67,15,32.68,18.95,1.48,0.17,,,,,,,,,
% 11/94-1,6005,6012,1994,9,14,257,264,82,14,17.86,9.89,0.83,0.10,,,,,,,,,
% 11/94-2,6019,6026,1994,9,28,271,278,96,14,24.09,13.16,1.04,0.11,,,,,,,,,
% 11/94-3,6033,6039.5,1994,10,12,285,291.5,110,13,33.39,18.44,1.44,0.16,,,,,,,,,
% 11/94-4,6046,6053,1994,10,25,298,305,123,14,24.02,13.38,0.97,0.12,,,,,,,,,
%  1/95-1,6061,6069.5,1994,11,9,313,321.5,140,17,19.13,10.35,0.85,0.09,,,,,,,,,
%  1/95-2,6078,6086.5,1994,11,26,330,338.5,157,17,24.96,13.31,1.08,0.12,,,,,,,,,
%  1/95-3,6095,6103.5,1994,12,13,347,355.5,174,17,25.65,13.63,1.07,0.13,,,,,,,,,
