OFP 3200m Flux Data,,,,,,,,,,,,,,,,,,,,,,
% 11/10-5,11845,11852.5,2010,9,13,256,263.5,81.5,15,143.91,137.15,2.54,0.34,74.01,,2.45,5.72,,,,,
% 11/10-6,11860,11867,2010,9,28,271,278,96,14,139.58,129.26,2.43,0.35,71.79,,2.56,6.48,,,,,
% 11/10-7,11874,11881,2010,10,12,285,292,110,14,72.02,60.32,1.80,0.24,42.88,,1.56,5.83,,,,,
% 11/10-8,11888,11895,2010,10,26,299,306,124,14,47.59,38.71,1.27,0.17,27.39,,,4.77,,,,,
% 11/10-9,11902,11909,2010,11,9,313,320,138,14,49.32,43.68,1.36,0.18,26.63,,,3.03,,,,,
Unable to Recover Mooring April 2011 (release failure),,,,,,,,,,,,,,,,,,,,,,
% 10/11-1,12087,12095,2011,5,13,133,140.5,323,15,20.68,12.59,1.18,0.15,10.4,,1.0,1.52,,,,,
% 10/11-2,12102,12110,2011,5,28,148,156,338,16,46.68,29.61,2.28,0.30,36.6,,3.4,7.92,,,,,
% 10/11-3,12118,12126,2011,6,13,164,172,354,16,32.50,20.84,1.62,0.20,21.8,,3.0,5.43,,,,,
% 10/11-4,12134,12142,2011,6,29,180,188,6,16,21.63,12.50,1.08,0.13,14.4,,2.0,3.97,,,,,
% 10/11-5,12153,12161,2011,7,18,199,207,25,16,17.20,10.79,0.86,0.11,14.4,,1.4,3.16,,,,,
% 10/11-6,12169,12177,2011,8,3,215,223,41,16,23.55,14.46,1.19,0.15,14.9,,1.8,3.36,,,,,
% 10/11-7,12185,12194,2011,8,19,231,239.5,58,17,22.30,13.79,1.18,0.14,15.8,,1.4,3.32,,,,,
% 4/12-1,12251,12259,2011,10,24,297,305,123,16,16.87,10.27,0.83,0.11,11.4,,1.1,2.69,,,,,
% 4/12-2,12267,12275,2011,11,9,313,321,139,16,30.43,18.57,1.40,0.18,28.4,,2.8,6.19,,,,,
% 4/12-3,12283,12291,2001,11,25,329,336.5,155,15,32.02,19.15,1.48,0.19,23.9,,2.8,6.88,,,,,
% 4/12-4,12298,12306,2011,12,10,344,351.5,170,15,22.26,12.68,1.01,0.13,22.8,,2.1,4.23,,,,,
% 4/12-5,12313,12321,2011,12,25,359,1.5,184,15,34.88,20.16,1.73,0.22,28.1,,6.6,5.51,,,,,
% 4/12-6,12328,12336,2012,1,9,9,16.5,199,15,59.79,34.60,2.68,0.34,32.0,,8.5,8.97,,,,,
% 4/12-7,12343,12351,2012,1,24,24,31.5,214,15,59.41,31.85,2.45,0.31,30.2,,9.3,7.84,,,,,
% 4/12-8,12358,12365,2012,2,8,39,46,228,14,54.96,31.81,2.25,0.29,30.4,,6.2,7.15,,,,,
% 4/12-9,12372,12379,2012,2,22,53,60,242,14,100.30,71.54,3.95,0.51,59.0,,9.3,10.58,,,,,
% 4/12-10,12386,12393,2012,3,7,67,74,256,14,78.53,54.16,3.38,0.45,48.3,,4.3,7.55,,,,,
% 4/12-11,12400,12407,2012,3,21,81,88,270,14,62.10,41.43,2.34,0.31,36.3,,4.5,7.90,,,,,
% 7/12-1,12419,12426,2012,4,9,100,106.5,289,13,43.67,27.24,2.17,0.28,30.1,,4.9,6.43,,,,,
% 7/12-2,12432,12439,2012,4,22,113,120,302,14,64.32,39.53,3.03,0.39,38.1,,8.2,8.55,,,,,
% 7/12-3,12446,12454,2012,5,6,127,134.5,317,15,50.80,29.53,2.09,0.27,38.0,,6.2,8.59,,,,,
% 7/12-4,12461,12469,2012,5,21,142,149.5,332,15,34.91,20.33,1.61,0.21,25.7,,3.9,5.49,,,,,
% 7/12-5,12476,12484,2012,6,5,157,164.5,347,15,42.70,24.21,1.66,0.21,29.4,,4.8,7.52,,,,,
% 7/12-6,12491,12498,2012,6,20,172,179,361,14,41.14,24.05,1.70,0.22,25.6,,4.3,6.66,,,,,
% 11/12-1,12508,12516,2012,7,7,189,196.5,15,15,34.33,17.52,1.60,0.20,21.0,,4.6,5.98,,,,,
% 11/12-2,12523,12531,2012,7,22,204,212,30,16,37.73,19.63,1.68,0.20,28.6,,5.7,7.56,,,,,
% 11/12-3,12539,12547,2012,8,7,220,228,46,16,36.96,19.09,1.69,0.21,99.6,,4.7,7.33,,,,,
% 11/12-4,12555,12563,2012,8,23,236,244,62,16,27.69,16.23,1.22,0.14,16.4,,3.6,5.83,,,,,
% 11/12-5,12571,12579,2012,9,8,252,260,78,16,33.91,20.06,1.48,0.18,15.8,,4.8,7.38,,,,,
% 11/12-6,12587,12595,2012,9,24,268,276,94,16,35.20,18.37,1.51,0.18,24.5,,5.2,7.91,,,,,
% 11/12-7,12603,12611,2012,10,10,284,291.5,110,15,27.18,15.93,1.18,0.14,22.9,,3.0,5.64,,,,,
% 11/12-8,12619,12627,2012,10,26,300,307.5,126,15,20.65,11.14,1.01,0.12,18.1,,4.0,4.33,,,,,
% 11/12-9,12634,12642,2012,11,10,315,322.5,141,15,26.57,15.56,1.17,0.14,15.8,,2.6,4.73,,,,,
% 4/13-1,12651,12659,2012,11,27,332,339.5,158,15,21.38,14.50,0.87,0.11,13.3,,1.3,3.08,,,,,
% 4/13-2,12666,12674,2012,12,12,347,355,173,16,32.44,20.56,1.28,0.16,19.3,,2.7,5.84,,,,,
% 4/13-3,12682,12690,2012,12,28,363,371,189,16,53.00,35.89,2.40,0.30,31.3,,6.0,7.51,,,,,
% 4/13-4,12698,12706,2013,1,13,13,21,203,16,52.38,35.89,2.35,0.31,33.1,,6.2,5.34,,,,,
% 4/13-5,12714,12722,2013,1,29,29,36.5,219,15,54.47,37.46,2.70,0.36,32.9,,5.3,6.72,,,,,
% 4/13-6,12729,12737,2013,2,13,44,51.5,234,15,56.88,37.77,2.88,0.38,33.6,,5.8,6.27,,,,,
% 4/13-7,12744,12752,2013,2,28,59,67,249,16,58.35,38.39,3.09,0.43,45.2,,7.1,8.22,,,,,
% 4/13-8,12760,12768,2013,3,16,75,82.5,265,15,87.78,57.58,5.30,0.70,60.5,,9.6,8.63,,,,,
% 4/13-9,12775,12783,2013,3,31,90,97.5,280,15,58.61,37.16,2.84,0.37,48.7,,4.1,6.99,,,,,
% 7/13-1,12793,12801,2013,4,18,108,116,298,16,38.74,23.99,2.22,0.29,24.0,,5.7,4.83,,,,,
% 7/13-2,12809,12817,2013,5,4,124,131.5,314,15,53.72,34.03,2.17,0.28,36.2,,7.0,10.90,,,,,
% 7/13-3,12824,12832,2013,5,19,139,146.5,329,15,31.59,20.08,1.25,0.17,24.1,,4.6,6.56,,,,,
% 7/13-4,12839,12847,2013,6,3,154,161.5,344,15,28.04,16.95,1.12,0.15,17.2,,2.8,5.03,,,,,
% 7/13-5,12854,12861,2013,6,18,169,176,358,14,38.77,24.98,1.66,0.22,27.6,,5.8,8.34,,,,,
% 7/13-6,12868,12875,2013,7,2,183,190,8,14,33.43,20.41,1.50,0.21,25.7,,4.9,6.55,,,,,
% 11/13-1,12884,12892,2013,7,18,199,207,25,16,32.84,19.22,1.57,0.20,21.4,,5.6,6.72,,,,,
% 11/13-2,12900,12908,2013,8,3,215,222.5,41,15,33.31,18.15,1.60,0.21,22.8,,4.7,6.87,,,,,
% 11/13-3,12915,12923,2013,8,18,230,237.5,56,15,33.17,19.22,1.60,0.21,20.1,,3.5,5.17,,,,,
% 11/13-4,12930,12938,2013,9,2,245,253,71,16,31.53,18.70,1.50,0.20,25.5,,3.8,5.97,,,,,
% 11/13-5,12946,12954,2013,9,18,261,269,87,16,37.01,22.60,1.78,0.22,24.4,,4.5,7.96,,,,,
% 11/13-6,12962,12970,2013,10,4,277,285,103,16,21.25,12.50,1.06,0.13,16.6,,2.4,4.13,,,,,
% 11/13-7,12978,12986,2013,10,20,293,301,119,16,23.73,13.39,1.06,0.14,16.8,,2.8,5.92,,,,,
% 4/14-1,12998,13006,2013,11,9,313,321,139,16,20.52,11.56,0.96,0.12,16.7,,3.2,6.10,,,,,
% 4/14-2,13012,13020,2013,11,23,327,334.5,153,15,31.02,16.06,1.37,0.18,20.3,,3.8,8.25,,,,,
% 4/14-3,13027,13035,2013,12,8,342,349.5,168,15,20.29,10.88,0.91,0.12,13.5,,2.1,4.97,,,,,
% 4/14-4,13042,13050,2013,12,23,357,364.5,183,15,26.54,16.01,1.32,0.17,15.3,,2.4,4.28,,,,,
% 4/14-5,13057,13064,2014,1,7,7,14,196,14,37.38,23.36,1.75,0.23,26.6,,4.0,6.79,,,,,
% 4/14-6,13071,13078,2014,1,21,21,28,210,14,27.04,16.78,1.32,0.18,14.3,,2.8,4.14,,,,,
% 4/14-7,13085,13092,2014,2,4,35,42,224,14,34.76,21.18,1.66,0.21,20.3,,3.5,6.50,,,,,
% 4/14-8,13099,13106,2014,2,18,49,56,238,14,39.02,23.72,1.70,0.21,25.7,,4.7,7.51,,,,,
% 4/14-9,13113,13120,2014,3,4,63,70,252,14,35.87,22.15,1.56,0.20,20.4,,3.7,5.89,,,,,
% 4/14-10,13127,13134,2014,3,18,77,84,266,14,38.45,23.68,1.82,0.23,21.1,,3.8,4.90,,,,,
% 4/14-11,13141,13148,2014,4,1,91,98,280,14,46.30,28.31,1.99,0.25,27.6,,4.4,7.85,,,,,
% 10/14-1,13160,13168,2014,4,20,110,117.5,300,15,24.64,13.97,1.21,0.15,16.4,,2.7,3.97,,,,,
% 10/14-2,13175,13183,2014,5,5,125,132.5,315,15,23.85,14.13,1.16,0.14,14.0,,2.4,3.60,,,,,
% 10/14-3,13190,13198,2014,5,20,140,147.5,330,15,41.55,22.65,2.26,0.27,22.6,,2.9,5.50,,,,,
% 10/14-4,13205,13213,2014,6,4,155,162.5,345,15,32.43,18.90,1.49,0.18,22.2,,4.2,6.28,,,,,
% 10/14-5,13220,13228,2014,6,19,170,177.5,360,15,32.86,19.67,1.43,0.18,26.4,,3.6,5.55,,,,,
% 10/14-6,13235,13243,2014,7,4,185,192.5,11,15,36.35,21.87,1.62,0.20,29.4,,3.3,6.75,,,,,
% 10/14-7,13250,13258,2014,7,19,200,207.5,26,15,27.84,16.21,1.23,0.15,22.6,,3.5,5.48,,,,,
% 10/14-8,13265,13273,2014,8,3,215,222.5,41,15,23.17,12.18,1.10,0.14,16.9,,3.0,5.34,,,,,
% 10/14-9,13280,13288,2014,8,18,230,237.5,56,15,35.90,18.93,1.51,0.19,23.0,,4.5,8.73,,,,,
% 10/14-10,13295,13303,2014,9,2,245,252.5,71,15,36.14,20.53,1.54,0.19,27.5,,4.0,7.88,,,,,
% 10/14-11,13310,13317,2014,9,17,260,267,85,14,31.21,17.89,1.46,0.18,19.5,,3.5,6.63,,,,,
% 10/14-12,13324,13331,2014,10,1,274,281,99,14,36.57,20.97,1.57,0.19,14.3,,3.0,5.23,,,,,
% 4/15-1,13346,13353,2014,10,23,296,303,121,14,24.33,14.13,1.23,0.15,14.3,,2.7,5.24,,,,,
% 4/15-2,13360,13367,2014,11,6,310,317,135,14,26.74,15.79,1.35,0.18,24.3,,2.2,5.81,,,,,
% 4/15-3,13374,13381,2014,11,20,324,331,149,14,19.77,11.54,0.93,0.11,12.6,,1.8,4.22,,,,,
% 4/15-4,13388,13395,2014,12,4,338,345,163,14,25.63,15.29,1.17,0.14,12.3,,1.7,4.26,,,,,
% 4/15-5,13402,13409,2014,12,18,352,359,177,14,28.82,18.37,1.46,0.18,18.6,,2.8,5.04,,,,,
% 4/15-6,13416,13424,2015,1,1,1,8.5,191,15,55.44,34.13,2.64,0.34,37.8,,7.3,9.98,,,,,
% 4/15-7,13431,13439,2015,1,16,16,23.5,206,15,42.80,27.13,1.92,0.23,22.5,,4.2,6.82,,,,,
% 4/15-8,13446,13454,2015,1,31,31,38.5,221,15,38.98,26.27,1.96,0.25,22.4,,4.0,5.35,,,,,
% 4/15-9,13461,13469,2015,2,15,46,53.5,236,15,48.43,29.86,2.48,0.31,29.8,,6.3,7.80,,,,,
% 4/15-10,13476,13484,2015,3,2,61,68.5,251,15,82.30,53.18,4.42,0.56,50.4,,9.7,9.37,,,,,
% 4/15-11,13491,13498,2015,3,17,76,83,265,14,61.12,43.82,3.14,0.39,36.1,,4.2,6.01,,,,,
% 4/15-12,13505,13512,2015,3,31,90,97,279,14,16.31,10.93,0.74,0.09,9.4,,1.5,2.57,,,,,
% 11/15-1,13524,13532,2015,4,19,109,116.5,299,15,5.63,3.41,0.30,0.04,,,,,,,,,
% 11/15-2,13539,13547,2015,5,4,124,131.5,314,15,32.39,20.40,1.52,0.19,,,,,,,,,
% 11/15-3,13554,13562,2015,5,19,139,146.5,329,15,40.25,23.62,1.79,0.23,,,,,,,,,
% 11/15-4,13569,13577,2015,6,3,154,161.5,344,15,34.24,19.94,1.45,0.18,,,,,,,,,
% 11/15-5,13584,13592,2015,6,18,169,176.5,359,15,42.95,26.32,1.86,0.24,,,,,,,,,
% 11/15-6,13599,13606,2015,7,3,184,191,9,14,34.07,20.47,1.68,0.21,,,,,,,,,
% 11/15-7,13613,13620,2015,7,17,198,205,23,14,42.55,23.98,2.00,0.25,,,,,,,,,
% 11/15-8,13627,13635,2015,7,31,212,219.5,38,15,39.24,24.45,1.92,0.24,,,,,,,,,
% 11/15-9,13642,13650,2015,8,15,227,234.5,53,15,38.84,23.94,1.95,0.25,,,,,,,,,
% 11/15-10,13657,13665,2015,8,30,242,249.5,68,15,24.20,14.83,1.31,0.17,,,,,,,,,
% 11/15-11,13672,13680,2015,9,14,257,264.5,83,15,28.57,17.06,1.73,0.22,,,,,,,,,
% 11/15-12,13687,13694,2015,9,29,272,279,97,14,38.11,24.17,2.31,0.30,,,,,,,,,
% 11/15-13,13701,13708,2015,10,13,286,293,111,14,28.90,17.27,1.75,0.23,,,,,,,,,
% 11/15-14,13715,13722,2015,10,27,300,307,125,14,28.87,16.74,1.42,0.18,,,,,,,,,
% 04/16-1,13735,13743,2015,11,16,320,327.5,146,15,21.58,12.96,1.06,0.13,,,,,,,,,
% 04/16-2,13750,13758,2015,12,1,335,342.5,161,15,23.60,12.57,1.22,0.15,,,,,,,,,
% 04/16-3,13765,13773,2015,12,16,350,357.5,176,15,24.56,14.81,1.12,0.13,,,,,,,,,
% 04/16-4,13780,13788,2015,12,31,365,372.5,191,15,24.71,14.14,1.12,0.13,,,,,,,,,
% 04/16-5,13795,13803,2016,1,15,15,22.5,205,15,25.22,14.62,1.17,0.14,,,,,,,,,
% 04/16-6,13810,13817,2016,1,30,30,37,219,14,29.75,17.62,1.57,0.18,,,,,,,,,
% 04/16-7,13824,13831,2016,2,13,44,51,233,14,38.96,24.34,1.79,0.21,,,,,,,,,
% 04/16-8,13838,13845,2016,2,27,58,65,247,14,22.02,12.53,1.17,0.14,,,,,,,,,
% 04/16-9,13852,13859,2016,3,12,72,79,261,14,41.24,24.16,2.04,0.24,,,,,,,,,
% 04/16-10,13866,13873,2016,3,26,86,93,275,14,43.57,24.07,1.92,0.24,,,,,,,,,
% 04/16-11,13880,13887,2016,4,9,100,107,289,14,31.14,17.36,1.44,0.20,,,,,,,,,
% 10/16-1,13898,13906,2016,4,27,118,125.5,308,15,20.86,12.21,1.00,0.12,,,,,,,,,
% 10/16-2,13913,13921,2016,5,12,133,140.5,323,15,26.58,14.28,1.20,0.14,,,,,,,,,
% 10/16-3,13928,13936,2016,5,27,148,155.5,338,15,34.07,21.18,1.52,0.18,,,,,,,,,
% 10/16-4,13943,13951,2016,6,11,163,170.5,353,15,26.91,16.31,1.21,0.15,,,,,,,,,
% 10/16-5,13958,13966,2016,6,26,178,186,4,16,21.68,12.29,1.01,0.13,,,,,,,,,
% 10/16-6,13974,13982,2016,7,12,194,201.5,20,15,27.90,17.59,1.31,0.16,,,,,,,,,
% 10/16-7,13989,13997,2016,7,27,209,216.5,35,15,17.98,10.64,0.89,0.11,,,,,,,,,
% 10/16-8,14004,14012,2016,8,11,224,231.5,50,15,15.48,10.04,0.74,0.09,,,,,,,,,
% 10/16-9,14019,14027,2016,8,26,239,246.5,65,15,20.52,12.61,0.98,0.12,,,,,,,,,
% 10/16-10,14034,14042,2016,9,10,254,261.5,80,15,30.18,19.67,1.41,0.17,,,,,,,,,
% 10/16-11,14049,14057,2016,9,25,269,276.5,95,15,22.58,13.69,1.07,0.13,,,,,,,,,
% 10/16-12,14064,14072,2016,10,10,284,291.5,110,15,23.00,15.02,1.04,0.12,,,,,,,,,
% 04/17-1,14083,14090,2016,10,29,303,310,128,14,16.22,9.01,0.93,0.14,,,,,,,,,
% 04/17-2,14097,14104,2016,11,12,317,324,142,14,15.81,9.29,0.78,0.10,,,,,,,,,
% 04/17-3,14111,14118,2016,11,26,331,338,156,14,32.42,19.44,1.54,0.20,,,,,,,,,
% 04/17-4,14125,14133,2016,12,10,345,352.5,171,15,22.85,13.06,1.08,0.14,,,,,,,,,
% 04/17-5,14140,14148,2016,12,25,360,367.5,186,15,27.27,16.32,1.44,0.19,,,,,,,,,
% 04/17-6,14155,14163,2017,1,9,9,16.5,199,15,48.60,29.07,2.59,0.35,,,,,,,,,
% 04/17-7,14170,14178,2017,1,24,24,31.5,214,15,42.33,25.18,2.09,0.28,,,,,,,,,
% 04/17-8,14185,14192,2017,2,8,39,46,228,14,35.95,22.24,1.87,0.24,,,,,,,,,
% 04/17-9,14198,14205,2017,2,22,52,59,241,14,30.19,18.07,1.57,0.20,,,,,,,,,
% 04/17-10,14213,14221,2017,3,8,67,74.5,257,15,40.98,25.59,2.37,0.31,,,,,,,,,
% 04/17-11,14228,14236,2017,3,23,82,89.5,272,15,73.89,48.59,4.63,0.64,,,,,,,,,
% 04/17-12,14243,14251,2017,4,7,97,104.5,287,15,45.71,30.79,2.42,0.32,,,,,,,,,
% 08/17-1,14261,14269,2017,4,25,115,123,305,16,29.65,19.35,1.40,0.19,,,,,,,,,
% 08/17-2,14277,14285,2017,5,11,131,138.5,321,15,35.60,21.29,1.45,0.19,,,,,,,,,
% 08/17-3,14292,14300,2017,5,26,146,153.5,336,15,38.08,24.74,1.66,0.21,,,,,,,,,
% 08/17-4,14307,14315,2017,6,10,161,169,351,16,32.05,19.23,1.34,0.17,,,,,,,,,
% 08/17-5,14323,14330,2017,6,26,177,184,2,14,24.81,16.05,1.16,0.15,,,,,,,,,
% 08/17-6,14337,14345,2017,7,10,191,198.5,17,15,28.00,17.45,1.27,0.16,,,,,,,,,
% 08/17-7,14352,14360,2017,7,25,206,213.5,32,15,39.31,23.47,1.70,0.22,,,,,,,,,
Mooring broke free mid-August (lost 08/17-8) recovered and redeployed,,,,,,,,,,,,,,,,,,,,,,
% 01/18-1,14383,14390,2017,8,25,237,244,62,14,19.41,10.39,0.98,0.12,,,,,,,,,
% 01/18-2,14398,14405,2017,9,8,252,259,77,14,33.28,20.58,1.56,0.20,,,,,,,,,
% 01/18-3,14411,14418,2017,9,22,265,272,90,14,24.87,15.41,1.25,0.17,,,,,,,,,
% 01/18-4,14425,14432,2017,10,6,279,286,104,14,18.20,10.40,0.97,0.12,,,,,,,,,
% 01/18-5,14439,14446,2017,10,20,293,300,118,14,20.97,12.82,1.02,0.13,,,,,,,,,
% 01/18-6,14453,14460,2017,11,3,307,314,132,14,28.32,17.27,1.32,0.17,,,,,,,,,
% 01/18-7,14467,14474,2017,11,17,321,328,146,14,25.30,13.94,1.22,0.17,,,,,,,,,
% 01/18-8,14481,14488,2017,12,1,335,342,160,14,30.36,18.38,1.34,0.18,,,,,,,,,
% 01/18-9,14495,14502,2017,12,15,349,356,174,14,30.10,16.45,1.34,0.17,,,,,,,,,
% 01/18-10,14509,14516,2017,12,29,363,370,188,14,29.35,17.34,1.26,0.16,,,,,,,,,
% 01/18-11,14523,14530,2018,1,12,12,18.5,201,13,34.67,21.96,1.54,0.20,,,,,,,,,
% 06/18-1,14538,14546,2018,1,27,27,34.5,217,15,36.09,22.54,1.82,0.23,,,,,,,,,
% 06/18-2,14553,14560,2018,2,11,42,49,231,14,48.59,32.35,2.90,0.36,,,,,,,,,
% 06/18-3,14567,14574,2018,2,25,56,63,245,14,35.08,23.11,1.60,0.19,,,,,,,,,
% 06/18-4,14581,14588,2018,3,11,70,77,259,14,29.87,20.24,1.58,0.19,,,,,,,,,
% 06/18-5,14595,14602,2018,3,25,84,91,273,14,117.07,84.30,6.00,0.69,,,,,,,,,
% 06/18-6,14609,14616,2018,4,8,98,105,287,14,71.52,49.55,3.43,0.42,,,,,,,,,
% 06/18-7,14623,14630,2018,4,22,112,119,301,14,53.45,38.34,2.46,0.30,,,,,,,,,
% 06/18-8,14637,14644,2018,5,6,126,133,315,14,36.92,23.91,1.55,0.19,,,,,,,,,
% 06/18-9,14651,14658,2018,5,20,140,147,329,14,23.40,15.34,1.03,0.13,,,,,,,,,
% 10/18-1,14666,14674,2018,6,4,155,162.5,345,15,12.87,8.78,0.59,0.08,,,,,,,,,
% 10/18-2,14681,14689,2018,6,19,170,177.5,360,15,24.31,15.57,0.94,0.12,,,,,,,,,
% 10/18-3,14696,14704,2018,7,4,185,192.5,11,15,23.71,15.84,1.08,0.15,,,,,,,,,
% 10/18-4,14711,14719,2018,7,19,200,207.5,26,15,23.71,16.09,1.00,0.14,,,,,,,,,
% 10/18-5,14726,14734,2018,8,3,215,222.5,41,15,23.15,16.13,0.98,0.12,,,,,,,,,
% 10/18-6,14741,14748,2018,8,18,230,237,55,14,24.70,17.03,1.01,0.12,,,,,,,,,
% 10/18-7,14755,14762,2018,9,1,244,251,69,14,26.68,18.63,1.10,0.13,,,,,,,,,
% 10/18-8,14769,14776,2018,9,15,258,265,83,14,28.14,17.15,1.20,0.15,,,,,,,,,
% 10/18-9,14783,14790,2018,9,29,272,279,97,14,32.59,20.65,1.30,0.16,,,,,,,,,
% 10/18-10,14797,14804,2018,10,13,286,293,111,14,27.86,19.16,1.17,0.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,